drug,condition,text,rating,date,helpful_votes,clean_text,word_count,detected_ades,meddra_categories,ade_count,ade_severities
Ozempic (Synthetic),Weight Management,"My appetite is so much reduced. I actually have more energy now. My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life.",9,13-Jul-22,143,appetite much reduced actually energy a1c points dropped tremendously blood sugar though nausea restricts life,15,"nausea, appetite, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"MILD, MILD, MILD"
Ozempic (Synthetic),Obesity,"I have constant fatigue. The nausea is overwhelming. I'm noticing significant hair loss. Severe constipation that won't go away. I lose weight, but I'm always tired.",2,15-Sep-23,64,constant fatigue nausea overwhelming noticing significant hair loss severe constipation go away lose weight always tired,16,"tired, nausea, constipation, hair loss, fatigue","General disorders, Gastrointestinal disorders, Skin disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,I have constant fatigue. Horrible diarrhea nearly every day. I'm noticing significant hair loss.,1,07-Aug-23,69,constant fatigue horrible diarrhea nearly every day noticing significant hair loss,11,"fatigue, hair loss, diarrhea","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"Severe constipation that won't go away. Blood sugar is down, though the nausea restricts my life. I lose weight, but I'm always tired. There is terrible injection site pain.",1,17-Jan-22,146,severe constipation go away blood sugar though nausea restricts life lose weight always tired terrible injection site pain,18,"tired, nausea, injection site, blood sugar, constipation","General disorders, Gastrointestinal disorders, Metabolism disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,I've been dealing with frequent vomiting. Dealing with symptoms of gastroparesis. The nausea is overwhelming.,1,30-May-24,20,dealing frequent vomiting dealing symptoms gastroparesis nausea overwhelming,8,"nausea, vomiting",Gastrointestinal disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"This drug changed my life completely. It works really well, but it's incredibly expensive. I finally have much better blood sugar control. The best medication I have ever taken.",8,24-Aug-23,77,drug changed life completely works really well incredibly expensive finally much better blood sugar control best medication ever taken,19,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"Honestly, The best medication I have ever taken. It works really well, but it's incredibly expensive. I actually have more energy now. My appetite is so much reduced.",10,08-Mar-24,95,honestly best medication ever taken works really well incredibly expensive actually energy appetite much reduced,15,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"I lose weight, but I'm always tired. It gets the job done, but I feel horrible on injection day.",1,16-Jun-24,31,lose weight always tired gets job done feel horrible injection day,11,tired,General disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, The medication is effective, but side effects are barely manageable. Horrible diarrhea nearly every day. Severe constipation that won't go away. It gets the job done, but I feel horrible on injection day.",4,29-Mar-24,135,experience medication effective side effects barely manageable horrible diarrhea nearly every day severe constipation go away gets job done feel horrible injection day,23,"constipation, diarrhea",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,The best medication I have ever taken.,9,10-Jan-23,10,best medication ever taken,4,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"I actually have more energy now. The medication is effective, but side effects are barely manageable.",10,17-Jan-22,58,actually energy medication effective side effects barely manageable,8,,,0,
Ozempic (Synthetic),Obesity,"I actually have more energy now. It works really well, but it's incredibly expensive.",8,06-Jun-22,93,actually energy works really well incredibly expensive,7,,,0,
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. I've experienced significant weight loss. My A1C points dropped tremendously. I finally have much better blood sugar control. The best medication I have ever taken.,8,28-Sep-23,122,appetite much reduced experienced significant weight loss a1c points dropped tremendously finally much better blood sugar control best medication ever taken,21,"weight loss, blood sugar, appetite",Metabolism disorders,3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I'm noticing significant hair loss. I have constant fatigue. The nausea is overwhelming.,1,03-Jul-22,13,noticing significant hair loss constant fatigue nausea overwhelming,8,"nausea, fatigue, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I actually have more energy now.,8,17-Sep-22,109,actually energy,2,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, This drug changed my life completely. My A1C points dropped tremendously. I've experienced significant weight loss. I actually have more energy now. It gets the job done, but I feel horrible on injection day.",10,11-May-24,28,experience drug changed life completely a1c points dropped tremendously experienced significant weight loss actually energy gets job done feel horrible injection day,22,weight loss,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I've been dealing with frequent vomiting. Severe constipation that won't go away.",3,03-Mar-23,142,clear dealing frequent vomiting severe constipation go away,8,"vomiting, constipation",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"It works really well, but it's incredibly expensive. I have constant fatigue.",2,14-Dec-24,62,works really well incredibly expensive constant fatigue,7,fatigue,General disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I lose weight, but I'm always tired. My appetite is so much reduced. It gets the job done, but I feel horrible on injection day.",7,12-Feb-24,102,clear lose weight always tired appetite much reduced gets job done feel horrible injection day,15,"appetite, tired","General disorders, Metabolism disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"Honestly, I finally have much better blood sugar control. Blood sugar is down, though the nausea restricts my life. My A1C points dropped tremendously. I actually have more energy now.",9,02-Apr-22,44,honestly finally much better blood sugar control blood sugar though nausea restricts life a1c points dropped tremendously actually energy,19,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,I've experienced significant weight loss.,10,16-Mar-23,5,experienced significant weight loss,4,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Obesity,"Honestly, I actually have more energy now. I lose weight, but I'm always tired. I've experienced significant weight loss.",6,24-Jun-23,148,honestly actually energy lose weight always tired experienced significant weight loss,11,"weight loss, tired","General disorders, Metabolism disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"This drug changed my life completely. I lose weight, but I'm always tired.",10,08-Oct-23,65,drug changed life completely lose weight always tired,8,tired,General disorders,1,SEVERE
Ozempic (Synthetic),Obesity,"Honestly, This drug changed my life completely. It works really well, but it's incredibly expensive. I finally have much better blood sugar control.",10,14-Apr-22,54,honestly drug changed life completely works really well incredibly expensive finally much better blood sugar control,16,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"Blood sugar is down, though the nausea restricts my life.",9,23-May-24,70,blood sugar though nausea restricts life,6,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"Honestly, The nausea is overwhelming. I'm noticing significant hair loss.",3,25-Oct-22,94,honestly nausea overwhelming noticing significant hair loss,7,"nausea, hair loss","Gastrointestinal disorders, Skin disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"I lose weight, but I'm always tired. The medication is effective, but side effects are barely manageable. My A1C points dropped tremendously. The best medication I have ever taken.",10,18-Sep-24,124,lose weight always tired medication effective side effects barely manageable a1c points dropped tremendously best medication ever taken,18,tired,General disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"Horrible diarrhea nearly every day. Blood sugar is down, though the nausea restricts my life. Severe constipation that won't go away.",3,22-Jul-24,58,horrible diarrhea nearly every day blood sugar though nausea restricts life severe constipation go away,15,"nausea, constipation, blood sugar, diarrhea","Gastrointestinal disorders, Metabolism disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, My A1C points dropped tremendously. I actually have more energy now. This drug changed my life completely. I finally have much better blood sugar control.",8,06-Jan-22,123,clear a1c points dropped tremendously actually energy drug changed life completely finally much better blood sugar control,17,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"I finally have much better blood sugar control. It gets the job done, but I feel horrible on injection day. I actually have more energy now.",8,08-Aug-22,89,finally much better blood sugar control gets job done feel horrible injection day actually energy,15,blood sugar,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,This drug changed my life completely.,7,01-Jul-23,63,drug changed life completely,4,,,0,
Ozempic (Synthetic),Obesity,I finally have much better blood sugar control.,5,28-Nov-22,42,finally much better blood sugar control,6,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"In my experience, It works really well, but it's incredibly expensive. Severe constipation that won't go away. The nausea is overwhelming. I've been dealing with frequent vomiting.",3,18-Apr-22,79,experience works really well incredibly expensive severe constipation go away nausea overwhelming dealing frequent vomiting,15,"nausea, vomiting, constipation",Gastrointestinal disorders,3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, My appetite is so much reduced. Blood sugar is down, though the nausea restricts my life. I actually have more energy now.",9,15-May-24,25,clear appetite much reduced blood sugar though nausea restricts life actually energy,12,"nausea, appetite, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"MILD, MILD, MILD"
Ozempic (Synthetic),Obesity,Horrible diarrhea nearly every day. Severe constipation that won't go away. I'm noticing significant hair loss.,2,07-Feb-24,49,horrible diarrhea nearly every day severe constipation go away noticing significant hair loss,13,"constipation, hair loss, diarrhea","Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"I'm noticing significant hair loss. It gets the job done, but I feel horrible on injection day. I have constant fatigue. Dealing with symptoms of gastroparesis.",1,09-Aug-23,9,noticing significant hair loss gets job done feel horrible injection day constant fatigue dealing symptoms gastroparesis,16,"fatigue, hair loss","General disorders, Skin disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"In my experience, I've been dealing with frequent vomiting. I'm noticing significant hair loss. I have constant fatigue.",3,10-Oct-22,31,experience dealing frequent vomiting noticing significant hair loss constant fatigue,10,"fatigue, vomiting, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I have constant fatigue. Dealing with symptoms of gastroparesis. I have major pancreatitis concerns now. I've been dealing with frequent vomiting.,1,14-May-22,145,constant fatigue dealing symptoms gastroparesis major pancreatitis concerns dealing frequent vomiting,11,"fatigue, vomiting, pancreatitis","General disorders, Gastrointestinal disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,Horrible diarrhea nearly every day.,3,15-Mar-23,105,horrible diarrhea nearly every day,5,diarrhea,Gastrointestinal disorders,1,SEVERE
Ozempic (Synthetic),Obesity,I actually have more energy now. I finally have much better blood sugar control. The best medication I have ever taken.,8,25-Feb-23,75,actually energy finally much better blood sugar control best medication ever taken,12,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"This drug changed my life completely. It gets the job done, but I feel horrible on injection day. I finally have much better blood sugar control. My appetite is so much reduced. The best medication I have ever taken.",10,27-Nov-24,54,drug changed life completely gets job done feel horrible injection day finally much better blood sugar control appetite much reduced best medication ever taken,24,"appetite, blood sugar",Metabolism disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,I finally have much better blood sugar control. My A1C points dropped tremendously. I actually have more energy now. My appetite is so much reduced.,8,15-Jul-23,132,finally much better blood sugar control a1c points dropped tremendously actually energy appetite much reduced,15,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Weight Management,"Honestly, Dealing with symptoms of gastroparesis. Horrible diarrhea nearly every day. I'm noticing significant hair loss. Severe constipation that won't go away.",3,11-Jul-22,74,honestly dealing symptoms gastroparesis horrible diarrhea nearly every day noticing significant hair loss severe constipation go away,17,"constipation, hair loss, diarrhea","Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"I've been dealing with frequent vomiting. I'm noticing significant hair loss. I have major pancreatitis concerns now. I have constant fatigue. The medication is effective, but side effects are barely manageable.",2,28-Oct-24,83,dealing frequent vomiting noticing significant hair loss major pancreatitis concerns constant fatigue medication effective side effects barely manageable,18,"fatigue, vomiting, hair loss, pancreatitis","General disorders, Gastrointestinal disorders, Skin disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I have major pancreatitis concerns now. Dealing with symptoms of gastroparesis. I've been dealing with frequent vomiting.,3,10-Sep-23,14,major pancreatitis concerns dealing symptoms gastroparesis dealing frequent vomiting,9,"vomiting, pancreatitis",Gastrointestinal disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"To be clear, I finally have much better blood sugar control. I've experienced significant weight loss. This drug changed my life completely. My A1C points dropped tremendously.",8,23-Oct-23,92,clear finally much better blood sugar control experienced significant weight loss drug changed life completely a1c points dropped tremendously,19,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"To be clear, The best medication I have ever taken. I actually have more energy now. I've experienced significant weight loss. This drug changed my life completely. I finally have much better blood sugar control.",9,19-May-22,108,clear best medication ever taken actually energy experienced significant weight loss drug changed life completely finally much better blood sugar control,21,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"In my experience, I have major pancreatitis concerns now. I'm noticing significant hair loss. I've been dealing with frequent vomiting.",2,13-Jan-24,45,experience major pancreatitis concerns noticing significant hair loss dealing frequent vomiting,11,"vomiting, hair loss, pancreatitis","Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"Dealing with symptoms of gastroparesis. Blood sugar is down, though the nausea restricts my life.",2,13-Mar-23,72,dealing symptoms gastroparesis blood sugar though nausea restricts life,9,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"In my experience, My A1C points dropped tremendously. I've experienced significant weight loss. This drug changed my life completely. I actually have more energy now.",9,22-Apr-23,148,experience a1c points dropped tremendously experienced significant weight loss drug changed life completely actually energy,15,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,"Honestly, I finally have much better blood sugar control. It gets the job done, but I feel horrible on injection day. This drug changed my life completely.",9,04-Mar-24,129,honestly finally much better blood sugar control gets job done feel horrible injection day drug changed life completely,18,blood sugar,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,My A1C points dropped tremendously.,9,27-Feb-22,80,a1c points dropped tremendously,4,,,0,
Ozempic (Synthetic),Weight Management,"Blood sugar is down, though the nausea restricts my life. Horrible diarrhea nearly every day. It gets the job done, but I feel horrible on injection day. I have major pancreatitis concerns now. The medication is effective, but side effects are barely manageable.",4,10-Jul-22,110,blood sugar though nausea restricts life horrible diarrhea nearly every day gets job done feel horrible injection day major pancreatitis concerns medication effective side effects barely manageable,27,"nausea, blood sugar, pancreatitis, diarrhea","Gastrointestinal disorders, Metabolism disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"It gets the job done, but I feel horrible on injection day. I've experienced significant weight loss. The medication is effective, but side effects are barely manageable.",7,20-Jun-24,63,gets job done feel horrible injection day experienced significant weight loss medication effective side effects barely manageable,17,weight loss,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Obesity,There is terrible injection site pain. The nausea is overwhelming. Horrible diarrhea nearly every day. I'm noticing significant hair loss.,2,30-Dec-22,42,terrible injection site pain nausea overwhelming horrible diarrhea nearly every day noticing significant hair loss,15,"nausea, hair loss, injection site, diarrhea","General disorders, Gastrointestinal disorders, Skin disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,My appetite is so much reduced. I actually have more energy now. This drug changed my life completely. I finally have much better blood sugar control.,10,10-Dec-23,49,appetite much reduced actually energy drug changed life completely finally much better blood sugar control,15,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Weight Management,"My A1C points dropped tremendously. I actually have more energy now. The medication is effective, but side effects are barely manageable. My appetite is so much reduced.",10,19-Jan-23,124,a1c points dropped tremendously actually energy medication effective side effects barely manageable appetite much reduced,15,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,There is terrible injection site pain. Dealing with symptoms of gastroparesis. I have major pancreatitis concerns now. I've been dealing with frequent vomiting.,2,09-Jan-23,31,terrible injection site pain dealing symptoms gastroparesis major pancreatitis concerns dealing frequent vomiting,13,"injection site, vomiting, pancreatitis","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"In my experience, I'm noticing significant hair loss. It works really well, but it's incredibly expensive. The medication is effective, but side effects are barely manageable.",7,25-Apr-24,85,experience noticing significant hair loss works really well incredibly expensive medication effective side effects barely manageable,16,hair loss,Skin disorders,1,MODERATE
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I finally have much better blood sugar control. This drug changed my life completely.",8,31-Mar-23,118,experience finally much better blood sugar control drug changed life completely,11,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"I lose weight, but I'm always tired.",4,18-Oct-22,27,lose weight always tired,4,tired,General disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, It works really well, but it's incredibly expensive. My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life.",4,24-May-23,19,honestly works really well incredibly expensive a1c points dropped tremendously blood sugar though nausea restricts life,16,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,I finally have much better blood sugar control. The best medication I have ever taken. I actually have more energy now.,10,04-Feb-23,84,finally much better blood sugar control best medication ever taken actually energy,12,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. My A1C points dropped tremendously.,8,08-Sep-24,140,appetite much reduced a1c points dropped tremendously,7,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, My appetite is so much reduced. The medication is effective, but side effects are barely manageable.",5,13-Nov-24,76,experience appetite much reduced medication effective side effects barely manageable,10,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,I finally have much better blood sugar control. I've experienced significant weight loss. My appetite is so much reduced. This drug changed my life completely.,9,09-Nov-22,96,finally much better blood sugar control experienced significant weight loss appetite much reduced drug changed life completely,17,"weight loss, blood sugar, appetite",Metabolism disorders,3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,I've been dealing with frequent vomiting.,2,04-Jul-22,146,dealing frequent vomiting,3,vomiting,Gastrointestinal disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,"Honestly, I have constant fatigue. Severe constipation that won't go away. Horrible diarrhea nearly every day. The nausea is overwhelming.",2,25-Aug-24,17,honestly constant fatigue severe constipation go away horrible diarrhea nearly every day nausea overwhelming,14,"nausea, fatigue, constipation, diarrhea","General disorders, Gastrointestinal disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, This drug changed my life completely. The best medication I have ever taken. I've experienced significant weight loss.",9,24-Nov-23,143,clear drug changed life completely best medication ever taken experienced significant weight loss,13,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,"Honestly, I have constant fatigue. There is terrible injection site pain.",3,12-May-24,68,honestly constant fatigue terrible injection site pain,7,"injection site, fatigue",General disorders,2,"SEVERE, SEVERE"
